StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q40,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q26,Q27,Q28,Q29,Q30,Q37,Q35,Q34,Q36
2026-03-17 16:33:54,2026-03-17 16:39:45,IP Address,24.57.40.92,100,351,True,2026-03-17 16:39:46,R_1uOPbf9TrLeIBS9,,,,,43.4769,-79.6653,anonymous,EN,I agree to participate in this study,3,1,5,4,2,"water temp, features on the shore- piers, currents, ",Low,Low,Moderate,Moderate,Moderate,High,High,Low,Low,Moderate,High,High,Low,Low,Moderate,High,High,High,,"depth, swim ability, temp, wave height, currents",Moderate,Low,Low,Low,Low,Low,High,Moderate,Moderate,High,Low,High,High,wave height and frequency,,> 15,
2026-03-18 00:18:39,2026-03-18 00:53:56,IP Address,68.37.117.85,100,2116,True,2026-03-18 00:53:56,R_6Qlnb95SosDE57r,,,,,42.7367,-84.4758,anonymous,EN,I agree to participate in this study,5,1,2,4,3,"Water/ air temperatures.
",Low,Low,Moderate,Moderate,High,High,High,,,,,,Low,Moderate,Moderate,High,High,High,"Yes. Risk is a complex issue, and is non-linear. For example a 1.5 meter wave at 3 seconds is (IMO) more dangerous than a 1.5m wave at 8 seconds. 
A 20k/hr off shore wind is more dangerous than a 20k/hr side-onshore wind. 
Longer fetch also plays a big part in risk. 


","Per US National Weather Service, most incidents occur around our structures. Therefore, areas with a long fetch, side-on to shore parallel wind, on the windward side of a structure generally produce the most dangerous situation. ",Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Low,High,High,"Wave height, wave period, wave direction. Time of day. Number of beach-goers.","Lifeguard, firefighter/paramedic.
Surfer, paddler (SUP, prone, OC-1, surfski) open water swimmer.",> 15,"I question the use of the word ""safe"" regarding low hazard conditions. 
IMO the Great Lakes are never ""safe"" as evidenced by the number of fatal drownings that happen in benign (green flag) conditions. "
2026-03-18 01:05:07,2026-03-18 01:34:47,IP Address,68.188.152.2,100,1779,True,2026-03-18 01:34:47,R_5ta4dn1axqIN6L6,,,,,43.9553,-86.4526,anonymous,EN,I agree to participate in this study,5,2,1,4,3,Shore topography.  ,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Low,Moderate,Moderate,Moderate,High,High,"Not really dangerous if it’s onshore.  Window most dangerous when it’s offshore in regards to kayaks, paddle boards and inflatables.  Also high winds should not be considered dangerous to the same degree for practitioners of wind sports like kiteboarding and windsurfing etc.  Those practitioners should not be kept out of the water to the same degree as swimmers or kayakers for example.  The activities and ability levels should have different risk rankings.  ",Strong wind for a longtime in the same direction that makes waves with long wave periods- that wind direction being between sideshore to onshore is worst for swimmers because it creates strongest currents.  Direct onshore wind for a long time with long wave periods would  make strong backwash/ to knock people down on shore or in the shallows.  Rips ( which would occur most with onshore wind) aren’t very big and strong in the lakes generally so I wouldn’t consider them them the most dangerous thing.  ,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,"My argument is that beaches are never less than moderate risk - for the population as a whole.  There are many people who can’t swim, many who are too short for the water and step off a sandbar, many who panic or have sudden medical problems.  At the other end, there are some who are so very skilled and equipped that conditions are almost never too dangerous for them.  Perhaps we can be more specific about who the conditions are dangerous for.  And For what activities the conditions are too dangerous.  For example inflatable paddleboards banned on 35mph offshore wind but swimming still allowed.  
Visual indicators I used: comparing wave height to something familiar sized like a human.  Another indicator, space between waves, another: amount of whitewater (difficult to float in), another wave pattern: lined up or skattered.  Hazards that can not be seen, depth, underwater objects.  Those could be investigated known and marked by lifeguards","Lifeguard.  And surfer and open water swimmer.  Also kayaking and lifeguard sports.  I lifeguarded 2 years at the south end of Lake Michigan as head lifeguard.  I lifeguarded 1 season on the Atlantic in the UK, one season on the Tasman sea in New Zealand, and 2 seasons on the Atlantic in the northeast USA.   I lifeguard in a pool currently.  I have also surfed a lot in Lake Michigan and a little bit in Lake Huron and Lake Superior.  I volunteered with the Great Lakes surf rescue project for 4-5 years.  One season on a big canyon out west.  2 years at this pool I’m at.  ",5 to 10,Please get in touch if you want to talk more.  
2026-03-18 12:21:58,2026-03-18 12:39:34,IP Address,35.62.19.188,100,1055,True,2026-03-18 12:39:34,R_7LdPQ46Va5LVO8p,,,,,42.7686,-86.117,anonymous,EN,I agree to participate in this study,1,5,4,2,3,"Water temperature, air temperature - ranked low",Low,Low,Moderate,Moderate,High,High,High,High,High,Moderate,Low,Low,Low,Low,Moderate,High,High,High,"Yes but for different reasons. Strong offshore winds can pull swimmers away from shore. Strong oblique or along shore winds can create longshore currents. With waves, onshore waves and oblique waves can create strong rip tides and/or longshore currents. ","The combination of strong onshore winds, onshore waves, and cold water. If you add a structure into this combination, risk goes up even more. ",Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,High,Low,High,High,"Indicators of rip currents and wind direction, indicators of wave direction, indicators of season/air temperature, other people on the beach or in the water. ","Professional offshore sailor, mariner, and captain for 20 years on Atlantic, Pacific, and Great Lakes, surfer for 15 years on Atlantic and Great Lakes. ",> 15,"All indicators and flags and warning systems need to be backed with a lifeguard on duty and (or at the very least) life rings for shore based rescues. Each beach has its own hazards such as sand bars, structures, etc that need to be evaluated regularly and in all conditions. "
2026-03-18 18:21:47,2026-03-18 18:37:21,IP Address,68.43.172.46,100,934,True,2026-03-18 18:37:22,R_71YoomijDoYn8T2,,,,,42.4031,-86.2736,anonymous,EN,I agree to participate in this study,2,1,5,4,3,"Structural impediments like piers, break walls, jetties ",Low,Low,Moderate,Moderate,High,High,High,High,High,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,High,High,Yes. Based on the angle risks vary. Off shore winds present the danger of being dragged away and on shore may present rip tides. Oblique can carry you down the beach. ,"Strong winds, short wave length time and structural currents. ",High,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,High,Moderate,High,High,"Wave height, direction and observance of potential rip currents. ",Lifeguard and beach safety advocate,> 15,
2026-03-18 21:35:13,2026-03-18 21:43:05,IP Address,169.133.32.200,100,472,True,2026-03-18 21:43:06,R_3guOzdEqbTqT9kx,,,,,39.7861,-104.8296,anonymous,EN,I agree to participate in this study,4,3,2,1,5,"Natural and Artificial elements like jetties, piers, rocks....etc. ",Low,Low,Low,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High,High,High,,,Moderate,Low,Low,Low,Low,Low,High,High,Moderate,High,Low,High,High,White caps and height of wave as well as distance between,over 30 years managing waterfront aquatic spaces. University faculty researching in the area of drowning prevention ,> 15,Differing levels of experience around the water might change perceptions of degree. 
2026-03-19 01:00:37,2026-03-19 01:06:31,IP Address,47.40.128.202,100,353,True,2026-03-19 01:06:31,R_7JJ82KyY0vWtZAD,,,,,42.7917,-86.1177,anonymous,EN,I agree to participate in this study,5,2,4,3,1,,Low,Low,Low,Moderate,Moderate,High,High,High,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,High,High,Risks are magnified by shore or piers,waves coming into a pier or jedi or natural structure,Moderate,Low,Low,Low,Low,Low,High,Low,Low,High,Moderate,High,High,wave height and period,physician,0 to 5,
2026-03-18 14:05:30,2026-03-19 02:40:20,IP Address,99.175.210.115,100,45290,True,2026-03-19 02:40:21,R_1zu5rF16PwnvO4L,,,,,41.6062,-87.2593,anonymous,EN,I agree to participate in this study,2,5,1,4,3,"structures in the area, shape of the shoreline, sandbars (that are always changing)turbulence of water conditions",Low,Low,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,High,High,yes absolutely because all of these other conditions are what can cause a condtion to go from manageable to more risk involved requiring better and more experience skills to handle the conditions,"strong gusty winds, long periods of sustainable winds, piers and other structures to consider, angle of approach, including offshore.  It is not just the lake conditions but the experience of the individual and their preparedness.  Storm fronts/ seiches that cause sudden changes ",Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Low,Moderate,Low,"trying to read the wind level by looking at the top of the water, looking at the water between waves, looking at amount of white water.  None of the images looked like very high waves ht however the shape of that beach looks a bit curved.  Looks like there a quite a few sandbars etc......  ","My profession is interior design / custom carpet sales.  I have been a part of a family run beach parking lot on Lake MI for my full life, and grew up and reside on Lake MI.  I've been in all the Great Lakes multiple times.  I participate on the board of water safety advocacy groups and teach in water clinics.  I am an open water swimmer, ice swimmer, swim coach, past life guard ",> 15,"I think it is very important to use the term low beach hazards carefully - off shore winds, drop offs all are the cause of some drownings and people getting in trouble and those days are usually considered low hazard which is misleading.  It is important for people to learn to evaluate risk and their own abilities.   Keeping people out of the water only makes it so there are few people that are competent which should not be the goal.  The goal should be to increase competency through education and building skills."
2026-03-19 11:40:43,2026-03-19 13:03:43,IP Address,172.224.238.12,100,4980,True,2026-03-19 13:03:44,R_3EKEA1yuhKdrAAB,,,,,43.2549,-79.8556,anonymous,EN,I agree to participate in this study,1,4,3,2,5,"Lake Bathymetry, Water Temperature, Water Quality, Natural and Manmade Shoreline Structure.  I think your first question is misleading and forces the participant to rank things in a way that leads the answer",Low,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,High,High,"All of these questions are challenging to answer.  The swimmer factors like size, child vs adult, swimming ability, all determine the hazard.  Offshore breezes are perhaps the most deceiving since they produce flat seas but create a hazard when toys are blown toward deeper water and people try to chase them.  On-shore waves and oblique angle waves can react differently with bathymetry and carry people toward hazards like outflow currents or structural rips, or cause repeated flash rip pulses to occur.  This is not a one size fits all evaluation.  Every beach is different and every beach can change over time.  Low wind speed at the present moment does not take into account what the previous wind speed, direction, and fetch has produced.  Lastly, what is this wind blowing into the area?  Fog, pollution, a storm cell?","These are all interconnected.  Wind angle, wind speed, wind fetch and duration of applied force all affect wave height and wave period.  Waves react with lake bathymetry.  They are all interconnected and combine to create a hazard.",Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Low,High,Moderate,"Wave height, wave direction, water colour.  The wash line up the beach slope also shows a bit that the wave height may be falling and the hazard is dropping.  The bend in the dune grass helps give a hint to wind strength.  Without knowing wind direction some may have been graded higher if an offshore breeze was present.  Also not being able to spot rip channels or see what structure, natural or man-made, is near-by might change the grading.  ","Lifeguard, Great Lakes Water Safety Expert, Waterfront Safety Auditor",> 15,"Asking whether the surf is hazardous is like asking will the corn grow?  It depends on some many factors with each contributing to the overall outcome.  With corn you would want to know about the soil, fertilizer, precipitation, seed quality, daily air temperature, amount of sun, etc.  Same for surf hazard prediction.  Much like crop production that varies from field to field and even different sections of a plot of land, surf hazard level changes from beach to beach and even along a section of shoreline.  I understand from the intro letter that this study might lead to a system that could be used on beaches without Lifeguards.  The biggest problem with that is people are poor judges of their swim abilities and many do not understand hazards such as offshore breeze situations.  The unknowledgeable would see a moderate warning with flat water and think that the system is malfunctioning.  If changes were made to the shoreline or bathymetric changes had occurred, the predictive model would have to be updated as well.  If strong swimmers or surfers were seen to be handling moderate conditions adequately, weaker swimmers might press their luck and enter the water.  I applaud your work to try and improve water safety.  With almost 30 years of freshwater surf experience, if you ever want to contact me my e-mail is gbbpwaterfront@yahoo.ca "
2026-03-19 16:15:54,2026-03-19 16:22:30,IP Address,198.47.58.2,100,396,True,2026-03-19 16:22:31,R_1GoJKoxjwrx00ue,,,,,42.4031,-86.2736,anonymous,EN,I agree to participate in this study,2,4,3,1,5,,Low,Low,Moderate,Moderate,Moderate,High,High,High,High,High,Moderate,Low,Low,Low,Moderate,Moderate,High,High,Winds out of the west create the highest hazards at our beach location. East winds are off shore and generally have low hazards,Winds out of the West or southwest have the highest surf zone hazards.,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,"Size of waves, how high they are reaching up beach, number of waves in photo, items washed up on beach(Bouys and tree)how far out waves are breaking","Chief of Police, trained surf lifeguard, ",10 to 15,
